Unnamed: 0,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Laminarin,0.0,COMM10<DL,0.0013013235436189741,0.00034875857405081633,4.637233117573181e-05,0.0008501594048884166,0.0005468070717805043,0.005082600714906772,0.0005400444401507102,0.00030721669403922325,0.0008231088783692398,0.00015360834701961162
1,Laminarin,24.0,COMM10<DL_rep0.0_passage1.0,0.03203415559772296,0.011079006382611698,0.0,0.4849439365188891,0.03842832499568743,0.0509634293600138,0.001899258237019148,0.0,0.05374900810764189,0.0598899430740038
2,Laminarin,24.0,COMM10<DL_rep1.0_passage1.0,0.04755904231535304,0.020674972562090967,0.0,0.4593741108085037,0.05551857648063088,0.06579000853623837,0.0017504369741067438,0.0,0.07530181699930898,0.08653103532376732
3,Laminarin,24.0,COMM10<DL_rep2.0_passage1.0,0.03261740951241398,0.012536145178980957,0.0,0.4324852926513112,0.03608535247781434,0.06190746834180876,0.0012887625884933694,0.0,0.04789510419782631,0.08018446505135107
4,Laminarin,0.0,COMM10<DL_rep0.0_passage2.0,0.0016017077798861482,0.0005539503191305849,0.0,0.024247196825944457,0.0019214162497843716,0.00254817146800069,9.496291185095742e-05,0.0,0.0026874504053820947,0.0029944971537001893
5,Laminarin,0.0,COMM10<DL_rep1.0_passage2.0,0.002377952115767652,0.0010337486281045485,0.0,0.022968705540425183,0.002775928824031544,0.003289500426811918,8.75218487053372e-05,0.0,0.003765090849965449,0.004326551766188366
6,Laminarin,0.0,COMM10<DL_rep2.0_passage2.0,0.001630870475620699,0.0006268072589490477,0.0,0.02162426463256556,0.0018042676238907169,0.003095373417090438,6.443812942466847e-05,0.0,0.0023947552098913154,0.004009223252567554
7,Laminarin,24.0,COMM10<DL_rep0.0_passage2.0,0.02826814031715522,0.010758769822200866,0.002953387794329649,0.27909514656415185,0.9106982220086498,0.004219125420470928,0.010442335415665546,0.0,0.02162301777991351,0.04894185487746277
8,Laminarin,24.0,COMM10<DL_rep1.0_passage2.0,0.03421704371491751,0.011332567897034644,0.005995293984237682,0.2517292339967115,0.8850369960877701,0.006214634008051256,0.009577847706526052,0.0,0.030049583262459607,0.05534679934229178
9,Laminarin,24.0,COMM10<DL_rep2.0_passage2.0,0.03975625628586642,0.011429923682186595,0.0032301958232266465,0.3337869017334201,0.8972490090516476,0.009690587469679941,0.008613855528604391,0.0,0.036443234928710884,0.05980003549665741
10,Laminarin,0.0,COMM10<DL_rep0.0_passage3.0,0.0014134070158577608,0.0005379384911100433,0.00014766938971648246,0.013954757328207593,0.045534911100432486,0.00021095627102354642,0.0005221167707832774,0.0,0.0010811508889956756,0.0024470927438731385
11,Laminarin,0.0,COMM10<DL_rep1.0_passage3.0,0.0017108521857458756,0.0005666283948517323,0.00029976469921188414,0.012586461699835577,0.0442518498043885,0.0003107317004025628,0.0004788923853263025,0.0,0.0015024791631229805,0.002767339967114589
12,Laminarin,0.0,COMM10<DL_rep2.0_passage3.0,0.001987812814293321,0.0005714961841093298,0.00016150979116133233,0.016689345086671,0.04486245045258238,0.0004845293734839972,0.00043069277643021964,0.0,0.0018221617464355441,0.00299000177483287
13,Laminarin,24.0,COMM10<DL_rep0.0_passage3.0,0.004635312259059368,0.0036696222050886657,0.0,0.12940246723207402,1.267757902852737,0.0,0.005214726291441789,0.0,0.01796183500385505,0.07204047802621434
14,Laminarin,24.0,COMM10<DL_rep1.0_passage3.0,0.004142315568100061,0.0022914937185234377,0.0,0.1155441640378549,1.3950790027118272,0.0,0.005816868670097957,0.0,0.011898140461564006,0.056317864851402964
15,Laminarin,24.0,COMM10<DL_rep2.0_passage3.0,0.004421897362502556,0.004637599672868534,0.0,0.12888213044367205,1.3418840727867511,0.0,0.0040983438969535895,0.0,0.014020650173788592,0.0845553056634635
16,Laminarin,0.0,COMM10<DL_rep0.0_passage4.0,0.0002317656129529684,0.00018348111025443328,0.0,0.0064701233616037005,0.06338789514263685,0.0,0.0002607363145720895,0.0,0.0008980917501927525,0.0036020239013107172
17,Laminarin,0.0,COMM10<DL_rep1.0_passage4.0,0.00020711577840500306,0.00011457468592617188,0.0,0.005777208201892745,0.06975395013559135,0.0,0.0002908434335048978,0.0,0.0005949070230782003,0.0028158932425701483
18,Laminarin,0.0,COMM10<DL_rep2.0_passage4.0,0.00022109486812512782,0.00023187998364342671,0.0,0.0064441065221836034,0.06709420363933756,0.0,0.00020491719484767948,0.0,0.0007010325086894296,0.0042277652831731755
19,Laminarin,24.0,COMM10<DL_rep0.0_passage4.0,0.0020617651328204392,0.005215052983016403,0.0,0.1788884453476557,1.340147336333285,0.0,0.003880969661779649,0.0,0.0656126433444622,0.0751937871969807
20,Laminarin,24.0,COMM10<DL_rep1.0_passage4.0,0.001876594712587921,0.0031004608294930877,0.0,0.1872515158864904,1.3215306330341985,0.0,0.0029372786805723985,0.0,0.051239194761096285,0.11406432209556147
21,Laminarin,24.0,COMM10<DL_rep2.0_passage4.0,0.0038783030995572063,0.005090272818168833,0.0,0.18276503356663326,1.3719497214683616,0.0,0.0041206970432795306,0.0,0.0568413798028853,0.07235459220111412
22,Laminarin,0.0,SubCommD20,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.00375,0.0
23,Laminarin,24.0,SubCommD20_rep0.0,0.0,0.0,0.0,0.31236112467845395,0.0,0.0,0.07449039432125297,0.018027254078343262,0.2786212269219498,0.0
24,Laminarin,24.0,SubCommD20_rep1.0,0.0,0.0,0.0,0.3232578102189781,0.0,0.0,0.06998160583941608,0.014302189781021903,0.271458394160584,0.0
