Unnamed: 0,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Laminarin Mono,0.0,COMM10<DL,0.0013013235436189741,0.00034875857405081633,4.637233117573181e-05,0.0008501594048884166,0.0005468070717805043,0.005082600714906772,0.0005400444401507102,0.00030721669403922325,0.0008231088783692398,0.00015360834701961162
1,Laminarin Mono,24.0,COMM10<DL_rep0.0_passage1.0,0.00814547427283729,0.008829445394983933,0.9135988816091474,0.08493677753202854,0.11671034511538622,0.22110921003213288,0.0,0.006404456871009472,0.029099862287693533,0.1011655468847807
2,Laminarin Mono,24.0,COMM10<DL_rep1.0_passage1.0,0.006636149477216988,0.011681441203046341,0.9767412062733962,0.06327068542661675,0.11072369949657933,0.05599819284884472,0.0,0.004772573254162902,0.03254440428552988,0.14613164773460696
3,Laminarin Mono,24.0,COMM10<DL_rep2.0_passage1.0,0.003984061843863333,0.005577686581408665,1.0990698606604312,0.02009737863459948,0.04984504040211237,0.04302786791372399,0.0,0.0038069924285805187,0.024258509893745624,0.14183260164153466
4,Laminarin Mono,0.0,COMM10<DL_rep0.0_passage2.0,0.00040727371364186456,0.00044147226974919666,0.04567994408045737,0.004246838876601427,0.005835517255769311,0.011055460501606643,0.0,0.0003202228435504736,0.0014549931143846766,0.005058277344239035
5,Laminarin Mono,0.0,COMM10<DL_rep1.0_passage2.0,0.00033180747386084937,0.0005840720601523171,0.04883706031366981,0.003163534271330837,0.005536184974828965,0.002799909642442236,0.0,0.00023862866270814512,0.0016272202142764939,0.007306582386730348
6,Laminarin Mono,0.0,COMM10<DL_rep2.0_passage2.0,0.00019920309219316666,0.00027888432907043325,0.05495349303302157,0.0010048689317299741,0.0024922520201056185,0.0021513933956862,0.0,0.00019034962142902594,0.0012129254946872813,0.007091630082076733
7,Laminarin Mono,24.0,COMM10<DL_rep0.0_passage2.0,0.0,0.0038595876539209337,0.20890989549578748,0.24621060839274145,0.04735118276085548,0.0803260490926766,0.002227681464679197,0.002279488010369411,0.002072261827608555,0.04626324530136098
8,Laminarin Mono,24.0,COMM10<DL_rep1.0_passage2.0,0.0009501363459291,0.012351772497078304,0.3525797623685236,0.5544045578496299,0.08099912349045578,0.16825331125827814,0.0037213673548889756,0.005146571873782626,0.003087943124269576,0.038005453837164006
9,Laminarin Mono,24.0,COMM10<DL_rep2.0_passage2.0,0.0006515465500038376,0.008319748253895157,0.4246078747409625,0.5048984572875893,0.08690628597743498,0.15937830992401567,0.0042601120577174,0.0042601120577174,0.004911658607721236,0.10780589454294266
10,Laminarin Mono,0.0,COMM10<DL_rep0.0_passage3.0,0.0,0.00019297938269604667,0.010445494774789376,0.012310530419637072,0.0023675591380427747,0.00401630245463383,0.00011138407323395983,0.00011397440051847055,0.00010361309138042776,0.002313162265068049
11,Laminarin Mono,0.0,COMM10<DL_rep1.0_passage3.0,4.7506817296454996e-05,0.0006175886248539152,0.01762898811842618,0.0277202278924815,0.004049956174522789,0.008412665562913906,0.0001860683677444488,0.0002573285936891313,0.0001543971562134788,0.0019002726918582
12,Laminarin Mono,0.0,COMM10<DL_rep2.0_passage3.0,3.257732750019188e-05,0.00041598741269475786,0.021230393737048124,0.02524492286437947,0.004345314298871749,0.007968915496200784,0.00021300560288587,0.00021300560288587,0.0002455829303860618,0.005390294727147133
13,Laminarin Mono,24.0,COMM10<DL_rep0.0_passage3.0,0.0,0.0,0.5424430453789791,0.6043481004864233,0.7375987316051968,0.17998894772489382,0.002011914290991934,0.1394411366295179,0.0037143033064466475,0.30225143156209594
14,Laminarin Mono,24.0,COMM10<DL_rep1.0_passage3.0,0.0,0.0,0.4788108250825083,0.7437919471947195,1.1513262046204622,0.05827907590759076,0.008385478547854786,0.020963696369636964,0.005031287128712872,0.7031223762376239
15,Laminarin Mono,24.0,COMM10<DL_rep2.0_passage3.0,0.0,0.003632839770296138,0.2642597961941223,0.4549252899448261,0.4415658146605112,0.7468415437450738,0.002929709492174305,0.035508079045152574,0.002343767593739444,0.12949315955410426
16,Laminarin Mono,0.0,COMM10<DL_rep0.0_passage4.0,0.0,0.0,0.02712215226894896,0.03021740502432117,0.036879936580259835,0.008999447386244691,0.0001005957145495967,0.006972056831475895,0.0001857151653223324,0.015112571578104797
17,Laminarin Mono,0.0,COMM10<DL_rep1.0_passage4.0,0.0,0.0,0.02394054125412541,0.037189597359735975,0.05756631023102311,0.0029139537953795373,0.00041927392739273927,0.0010481848184818482,0.0002515643564356436,0.035156118811881194
18,Laminarin Mono,0.0,COMM10<DL_rep2.0_passage4.0,0.0,0.0001816419885148069,0.013212989809706116,0.022746264497241302,0.02207829073302556,0.037342077187253686,0.00014648547460871522,0.001775403952257629,0.00011718837968697219,0.006474657977705214
19,Laminarin Mono,24.0,COMM10<DL_rep0.0_passage4.0,0.0,0.0,0.4796394138064018,0.8681263658567938,0.5748251703303766,0.2390937138449672,0.0,0.22973646998328834,0.0,0.11857886617817195
20,Laminarin Mono,24.0,COMM10<DL_rep1.0_passage4.0,0.0,0.0,0.9703566073919108,0.6797411523709902,0.4706372907949791,0.005734483960948396,0.0,0.08315001743375175,0.0,0.1398804480474198
21,Laminarin Mono,24.0,COMM10<DL_rep2.0_passage4.0,0.0,0.0,0.7234059186323306,0.4886198333694005,0.029584667820818006,1.0681551071196709,0.0,0.11144909110582124,0.0,0.07578538195195847
22,Laminarin Mono,0.0,SubCommD20,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.00375,0.0
