,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
160,Xylan Mono,24,COMM10<DP_rep2.0_passage1.0,0.016558256,0.056127619,0.006209346,0.181897318,1.221536672,0.184697611,0.001704526,0.01095767,0.028976949,0.034334032
161,Xylan Mono,0,COMM10<DP_rep0.0_passage2.0,0.000739115,0.014950558,0.000162245,0.005185824,0.064092704,0.005594441,0,0.000396598,0.00083526,0.000168254
162,Xylan Mono,0,COMM10<DP_rep1.0_passage2.0,0.001212421,0.003012175,0.000482451,0.009921718,0.05902688,0.010857254,6.71E-05,0.00136345,0.001615163,0.001791363
163,Xylan Mono,0,COMM10<DP_rep2.0_passage2.0,0.000827913,0.002806381,0.000310467,0.009094866,0.061076834,0.009234881,8.52E-05,0.000547883,0.001448847,0.001716702
164,Xylan Mono,24,COMM10<DP_rep0.0_passage2.0,0.004889612,0.042217623,0.038997635,0.033034693,2.057691701,0.07489454,0,0.044245023,0.037208752,0.086820422
165,Xylan Mono,24,COMM10<DP_rep1.0_passage2.0,0.005798594,0.028293138,0.047988362,0.035591368,2.010312455,0.120170856,0,0.03509149,0.048588216,0.142165522
166,Xylan Mono,24,COMM10<DP_rep2.0_passage2.0,0.006994603,0.066781804,0.079771781,0.025979954,1.995460293,0.138726291,0,0.027478797,0.052959136,0.19784734
167,Xylan Mono,0,COMM10<DP_rep0.0_passage3.0,0.000244481,0.002110881,0.001949882,0.001651735,0.102884585,0.003744727,0,0.002212251,0.001860438,0.004341021
168,Xylan Mono,0,COMM10<DP_rep1.0_passage3.0,0.00028993,0.001414657,0.002399418,0.001779568,0.100515623,0.006008543,0,0.001754574,0.002429411,0.007108276
169,Xylan Mono,0,COMM10<DP_rep2.0_passage3.0,0.00034973,0.00333909,0.003988589,0.001298998,0.099773015,0.006936315,0,0.00137394,0.002647957,0.009892367
170,Xylan Mono,24,COMM10<DP_rep0.0_passage3.0,0.001074122,0.007017598,0.061296575,0.006229909,1.853147259,0.209024184,0,0.072968703,0.07848253,0.214896052
171,Xylan Mono,24,COMM10<DP_rep1.0_passage3.0,0.000855543,0.006449479,0.088318378,0.007041778,2.051789918,0.112865885,0,0.074498065,0.081868899,0.227969345
172,Xylan Mono,24,COMM10<DP_rep2.0_passage3.0,0.001410421,0.008314059,0.079948586,0.010021411,2.048227842,0.038972152,0,0.085293338,0.098506754,0.212305437
173,Xylan Mono,0,COMM10<DP_rep0.0_passage4.0,5.37E-05,0.00035088,0.003064829,0.000311495,0.092657363,0.010451209,0,0.003648435,0.003924127,0.010744803
174,Xylan Mono,0,COMM10<DP_rep1.0_passage4.0,4.28E-05,0.000322474,0.004415919,0.000352089,0.102589496,0.005643294,0,0.003724903,0.004093445,0.011398467
