,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Xylan,0.0,COMM10<DL,0.0013013235436189741,0.00034875857405081633,4.637233117573181e-05,0.0008501594048884166,0.0005468070717805043,0.005082600714906772,0.0005400444401507102,0.00030721669403922325,0.0008231088783692398,0.00015360834701961162
1,Xylan,24.0,COMM10<DL_rep0.0_passage1.0,0.011657687915631088,0.07672385302613019,0.0007455498085578023,0.2838511452945523,0.18137193524551626,0.10580029555988447,0.0017622086384093507,0.001084436085174985,0.057610667024921076,0.28839222140122256
2,Xylan,24.0,COMM10<DL_rep1.0_passage1.0,0.009180167776639344,0.08287829789959017,0.0007061667520491804,0.2440127113217213,0.16896644467213115,0.1151693775614754,0.0014765304815573769,0.001348136526639344,0.05739209784836065,0.3213700691598361
3,Xylan,24.0,COMM10<DL_rep2.0_passage1.0,0.00732294911734164,0.07067497403946002,0.0,0.2085621322256836,0.12267358947732784,0.08588854274835582,0.0011353409484250608,0.002895119418483905,0.05336102457597785,0.2674863274489443
4,Xylan,0.0,COMM10<DL_rep0.0_passage2.0,0.0005828843957815544,0.0038361926513065096,3.7277490427890114e-05,0.014192557264727615,0.009068596762275814,0.005290014777994224,8.811043192046754e-05,5.422180425874925e-05,0.0028805333512460537,0.014419611070061128
5,Xylan,0.0,COMM10<DL_rep1.0_passage2.0,0.00045900838883196723,0.004143914894979508,3.530833760245902e-05,0.012200635566086065,0.008448322233606557,0.00575846887807377,7.382652407786884e-05,6.740682633196719e-05,0.0028696048924180323,0.016068503457991806
6,Xylan,0.0,COMM10<DL_rep2.0_passage2.0,0.00036614745586708203,0.003533748701973001,0.0,0.010428106611284179,0.006133679473866392,0.004294427137417791,5.676704742125304e-05,0.00014475597092419526,0.0026680512287988924,0.013374316372447214
7,Xylan,24.0,COMM10<DL_rep0.0_passage2.0,0.012016075471698112,0.2158778490566038,0.0,0.5307648679245283,0.20254494339622645,0.02600739622641509,0.002633660377358491,0.0,0.016378075471698113,0.0842771320754717
8,Xylan,24.0,COMM10<DL_rep1.0_passage2.0,0.01138831589804037,0.2063139089435686,0.0,0.4192489317813467,0.17967054663326948,0.01875099454840136,0.002913290113452188,0.0,0.0171089583026374,0.22310505377928394
9,Xylan,24.0,COMM10<DL_rep2.0_passage2.0,0.010720646197265342,0.17788331468055082,0.0,0.4330942533210063,0.15123059705123834,0.017768478419541628,0.0019853048513454336,0.0,0.01573354094691256,0.21158386453213954
10,Xylan,0.0,COMM10<DL_rep0.0_passage3.0,0.0006008037735849056,0.01079389245283019,0.0,0.026538243396226412,0.010127247169811322,0.0013003698113207545,0.00013168301886792456,0.0,0.0008189037735849057,0.004213856603773585
11,Xylan,0.0,COMM10<DL_rep1.0_passage3.0,0.0005694157949020185,0.01031569544717843,0.0,0.020962446589067336,0.008983527331663474,0.000937549727420068,0.0001456645056726094,0.0,0.0008554479151318699,0.011155252688964197
12,Xylan,0.0,COMM10<DL_rep2.0_passage3.0,0.0005360323098632671,0.008894165734027541,0.0,0.021654712666050315,0.007561529852561917,0.0008884239209770814,9.926524256727168e-05,0.0,0.000786677047345628,0.010579193226606977
13,Xylan,24.0,COMM10<DL_rep0.0_passage3.0,0.006626872274537066,0.22473295203185234,0.0004440687606648549,0.4179028629210642,0.14384411931997726,0.0015030019591733552,0.05263922770650319,0.0,0.013527017632560196,0.21909669468495227
14,Xylan,24.0,COMM10<DL_rep1.0_passage3.0,0.007153444676409184,0.1932359081419624,0.0,0.4097901878914404,0.13628705636743213,0.0013470772442588724,0.07761951983298537,0.0,0.00947599164926931,0.18803340292275567
15,Xylan,24.0,COMM10<DL_rep2.0_passage3.0,0.007085828343313373,0.2322022621423819,0.0,0.4086493679308051,0.14920159680638725,0.0010312707917498336,0.026746506986027947,0.0,0.013373253493013972,0.2117099135063207
16,Xylan,0.0,COMM10<DL_rep0.0_passage4.0,0.0003313436137268533,0.011236647601592617,2.2203438033242745e-05,0.02089514314605321,0.007192205965998863,7.515009795866776e-05,0.0026319613853251597,0.0,0.0006763508816280098,0.010954834734247614
17,Xylan,0.0,COMM10<DL_rep1.0_passage4.0,0.0003576722338204592,0.00966179540709812,0.0,0.02048950939457202,0.006814352818371607,6.735386221294362e-05,0.003880975991649269,0.0,0.0004737995824634655,0.009401670146137783
18,Xylan,0.0,COMM10<DL_rep2.0_passage4.0,0.00035429141716566867,0.011610113107119095,0.0,0.020432468396540254,0.007460079840319362,5.156353958749168e-05,0.0013373253493013974,0.0,0.0006686626746506986,0.010585495675316036
19,Xylan,24.0,COMM10<DL_rep0.0_passage4.0,0.009574325164821495,0.2706076626446076,0.0,0.34148426421196665,0.1640932951859684,0.0,0.024933138450055976,0.0,0.015890720238835674,0.24241659410374425
20,Xylan,24.0,COMM10<DL_rep1.0_passage4.0,0.010182513089005234,0.25568940314136124,0.0,0.3739798743455497,0.16430676439790576,0.0,0.03375394764397905,0.0,0.01711528795811518,0.17947220942408376
21,Xylan,24.0,COMM10<DL_rep2.0_passage4.0,0.010099904080277429,0.2668057994539954,0.0,0.3535731572345606,0.15585988342064486,0.0,0.043230650040581416,0.0,0.016450601342876108,0.1909800044270641
22,Xylan,0.0,SubCommD20,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.00375,0.0
23,Xylan,24.0,SubCommD20_rep0.0,0.0,0.0,0.0,0.3216482739874966,0.0,0.0,0.3751810274531122,0.011745583038869259,0.12242511552052188,0.0
