Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC,0.0,0.000394575074051463,0.006020561200168259,0.002218821305173737,0.00023275739128655895,0.07291518085065042,0.014552866985262949,8.121168409664623e-05,0.0012477159960087361,0.002699140496674695,0.0011154634315201665
COMM10<AC,24.0,0.0026346717174222096,0.09914014412861576,0.0583968798037074,0.0016915269024980646,1.7267244943512228,0.30383159231401385,0.0,0.03936466718018877,0.05348284635262535,0.072496417497933
COMM10<BH,0.0,0.00026561208848353477,0.003170499537541775,0.005887862905525144,0.00034964743503242135,0.07740384023553395,0.01204339347651843,0.0009780348571242663,0.0008904264982083244,0.0030732810222471093,0.008479675037581135
COMM10<BH,24.0,0.002971863031392783,0.05307237010987683,0.10940602636026082,0.0050367520706145865,1.8862647068220546,0.2034673331520237,0.004812495319238012,0.020948041892415517,0.06399966757423514,0.1688502952311566
COMM10<BP,0.0,0.0003237947122167442,0.0024875645621956644,0.0025882552638912763,0.0005904604841264235,0.06899311989377868,0.01316886735705746,6.5565518516562e-05,0.004454290616448258,0.0022401089224335403,0.005825583753459282
COMM10<BP,24.0,0.003172568464859745,0.04023720357739209,0.050773923413557534,0.008696031617041213,1.8245730197316643,0.21240311217546504,0.0002000523697302959,0.07167106627815759,0.04630270727049414,0.10842209244762024
COMM10<BT,0.0,0.00019636897780734363,0.000609376483531081,0.003588065540376812,0.00014055364405431763,0.0808853280184206,0.006977037036910831,4.570752748017253e-05,0.0010573211317401036,0.0022986818829442745,0.008701265289209817
COMM10<BT,24.0,0.0015706689010281962,0.009766682406052316,0.07772665310054876,0.0013558254251156742,1.9184310430938496,0.11878119421049599,0.0,0.020894088125285662,0.050088026778578265,0.18758924350030137
COMM10<BV,0.0,0.00030759990120710133,0.026087133750335303,0.0037705571702123797,0.0015678909662500931,0.041371051867138124,0.016383379765041586,0.00011328718435988343,0.0009143112756873979,0.0034774432880203096,0.00891074115060791
COMM10<BV,24.0,0.0027858664236957926,0.4106908013726975,0.07322084324029036,0.040212848034205224,1.3241349899748414,0.2995564504596677,0.0006455534921095158,0.028707547942438138,0.06827484855948064,0.21032459160233546
